id;year;earning1;season;Nindnme;returnSe
21;2008;4.73716;1;C3;-0.2259194
21;2008;13.59894;2;C3;-0.5003734
21;2008;31.80874;3;C3;-0.2488755
21;2008;97.25211;4;C3;-0.167002
21;2009;9.516437;1;C3;0.7061612
21;2009;12.87011;2;C3;0.5342465
21;2009;14.79802;3;C3;0.002681
21;2009;24.74354;4;C3;0.1228224
21;2010;6.982906;1;C3;0.1005373
21;2010;14.51156;2;C3;-0.2620209
21;2010;17.20804;3;C3;0.5019231
21;2010;20.097;4;C3;-0.2517527
22;2007;23.95508;1;G;0.30639
22;2007;37.50156;2;G;0.1062317
22;2007;56.36598;3;G;0.1248114
22;2007;80.17358;4;G;-0.112812
22;2008;24.15509;1;G;-0.3598485
22;2008;56.65479;2;G;-0.172619
22;2008;111.8774;3;G;-0.1007194
22;2008;215.4362;4;G;-0.2213115
22;2009;28.74646;1;G;0.2565445
22;2009;50.58787;2;G;0.1614497
22;2009;64.65999;3;G;-0.1049251
22;2009;95.86604;4;G;0.1683398
22;2010;25.78206;1;G;0.0537705
22;2010;64.96244;2;G;-0.2832298
22;2010;109.5264;3;G;0.170268
22;2010;119.5325;4;G;0.0323767
23;2007;21.56302;1;E;0.6455697
23;2007;7.848132;2;E;0.1722365
23;2007;1.777526;3;E;0.4196722
23;2007;9.50634;4;E;-0.1256665
23;2008;-5.060259;1;E;-0.1994774
23;2008;3.177077;2;E;-0.4202898
23;2008;5.8778;3;E;-0.1800847
23;2008;51.2382;4;E;0
23;2009;-11.36293;1;E;0.5739796
23;2009;-2.201301;2;E;0.2725807
23;2009;7.572535;3;E;-0.140553
23;2009;19.67436;4;E;0.2911726
23;2010;-8.500915;1;E;0.0688592
23;2010;-2.557649;2;E;-0.3474088
23;2010;7.758659;3;E;0.2088889
23;2010;10.91296;4;E;0.0317848
24;2007;7.383476;1;K;-0.0069444
24;2007;27.26045;2;K;0.7167832
24;2007;15.53679;3;K;0.6089613
24;2007;18.43806;4;K;-0.250538
24;2008;0.8557845;1;K;-0.220339
24;2008;9.906905;2;K;-0.6752174
24;2008;26.44488;3;K;-0.0806897
24;2008;90.1746;4;K;0.0092308
24;2009;7.041916;1;K;0.7011408
24;2009;12.06162;2;K;0.401766
24;2009;18.06155;3;K;-0.2068528
24;2009;39.52179;4;K;0.0369937
24;2010;13.49348;1;K;-0.0926829
24;2010;50.23852;2;K;-0.384106
24;2010;57.44169;3;K;0.1638683
24;2010;83.62122;4;K;-0.0699708
25;2007;-2.380065;1;S;0.8405405
25;2007;-0.1173994;2;S;
25;2007;0.0532277;3;S;0.1508796
25;2007;2.588962;4;S;-0.1046784
25;2008;-1.888712;1;S;-0.4460847
25;2008;-2.95845;2;S;-0.3561485
