"companyId","year","k4_average","median","average"
"16",2016,-0.0012399445050020022,-0.011478543226209817,-0.017305548952023398
"16",2017,-0.001719384658952407,-0.010082915472343953,-0.016438548292494377
"17",2017,-0.001606580479127194,-0.015089645340480712,-0.019795242169197605
"18",2010,-0.008978758219830124,-0.04009223015953091,-0.04096876870324192
"18",2011,-0.0043811336881112405,-0.03121898117354072,-0.032047991130394186
"18",2012,-0.005748371851252408,-0.02612434697943282,-0.02809466127965325
"18",2013,-0.004085890192432495,-0.024179449931398457,-0.026457930598394252
"19",2011,-0.002555806707746653,-0.015260944168139914,-0.017665811305783045
"19",2012,-0.003925813330537908,-0.013143829210004915,-0.016629806711156762
"19",2013,-0.0033017563176198435,-0.012509771899742386,-0.015061824823585668
"19",2014,-0.0028399619499169526,-0.01184071243979819,-0.01540274561812709
"19",2015,-0.005779236068994134,-0.01492640106261341,-0.01772569664916967
"19",2016,-0.0046761875487796225,-0.015712694003219323,-0.01850277879653525
"20",2012,-0.0006636519792730324,-0.012749455322074246,-0.016905516154837416
"20",2013,-0.00032510634820106057,-0.012062095877052124,-0.0164118456581223
"21",2010,-0.0012005594342855892,-0.014491500447719413,-0.017202035980599974
"21",2011,-0.0007401298342007057,-0.012840784403298323,-0.015522226977343852
"21",2012,-0.0011000607175544622,-0.011572031289662449,-0.014895854117338713
"21",2013,-0.0002977418850540822,-0.009600295418942386,-0.0137102430789411
"21",2014,-0.00033676722699787825,-0.00817090604329308,-0.012669762625780262
"21",2015,-0.0003181674155677038,-0.007692921442962048,-0.013305704951203062
"21",2016,-0.0002585442197931805,-0.007743567700666948,-0.013210947264502384
"21",2017,-0.000310483375159579,-0.00794635424892988,-0.013026454271170796
"22",2010,-0.008523007849588456,-0.04499485994731639,-0.04428426822892793
"22",2011,-0.011908452362683983,-0.04777378733203931,-0.048455059540666263
"22",2012,-0.012362615312903615,-0.04353702605787743,-0.04297843283619406
"22",2013,-0.011746151832364736,-0.042421540659007065,-0.05040859463119654
"22",2014,-0.00920972692101727,-0.03521416266113968,-0.03789937550922947
"23",2010,-0.004428547089545095,-0.01579915898648961,-0.015840471432773406
"23",2011,-0.0029635011140260047,-0.014807870120586564,-0.01718529290317039
"24",2010,-0.005612612526537347,-0.01291610377184443,-0.015558876906181279
"24",2011,-0.0023130830866188207,-0.015181666132397862,-0.017947714584491556
"24",2012,-0.0025849364843873197,-0.020090543177065042,-0.022043388539259162
"24",2013,-0.0030415301309760206,-0.024021745026007374,-0.02605561045432476
"24",2014,-0.0044187930385246755,-0.0273586175490438,-0.029721474871055253
"25",2013,-0.002643051154519989,-0.019928070707423653,-0.02165649411246773
"25",2014,-0.002187878084290205,-0.022595713190337156,-0.023812678922459016
