id,year,returnSe,season,earning1,Nindnme
7,2009,0.1909091,3,0.5076293,K
7,2009,0.0732824,4,0.168554,K
7,2010,0.0739687,1,-0.0742517,H
7,2010,-0.0675497,2,0.0517261,H
7,2010,0.1761363,3,0.0091464,H
7,2010,0.0326088,4,0.141691,H
7,2011,0.0233918,1,-0.0021701,H
7,2011,-0.0891429,2,-0.0043948,H
7,2011,-0.0439147,3,0.005106,H
7,2011,-0.1364829,4,0.0472201,H
7,2012,0.7537994,1,0.0024516,H
7,2012,0.2859619,2,0.0152143,H
7,2012,0.037062,3,0.0282425,H
7,2012,-0.0597791,4,0.0124721,H
7,2013,0.0905321,1,-0.0346231,H
7,2013,-0.1603295,2,-0.0074073,H
7,2013,0.0120755,3,0.1171711,H
7,2013,0.0350485,4,0.0607979,H
7,2014,-0.1246398,1,-0.0244573,H
7,2014,0.3695473,3,-0.0284043,H
7,2014,-0.1225961,4,-0.0868602,H
7,2015,0.3116438,1,-0.0184418,H
7,2015,0.2422977,4,0.029932,H
7,2016,0.0222782,3,0.047518,H
7,2016,0.0538651,4,0.1452142,H
7,2017,-0.3499805,3,-0.0020025,K
8,2007,0.7194244,1,0.0326795,I
8,2007,-0.111576,2,0.0207334,I
8,2007,0.7943486,3,0.0464662,I
8,2007,0.0857392,4,0.0199825,I
8,2008,-0.3223207,1,0.002819,I
8,2008,-0.3686088,2,0.003922,I
8,2008,-0.2410546,3,0.0080987,I
8,2008,0.0967742,4,0.0252015,I
8,2009,0.6085973,1,-0.00392,I
8,2009,0.2081575,2,-0.0062407,I
8,2009,-0.0989523,3,-0.0013667,I
8,2009,0.5865633,4,0.0054991,I
8,2010,0.0618893,1,-0.0006677,F
8,2010,-0.2423313,2,0.0001758,F
8,2010,0.3340081,3,0.0012053,F
8,2010,-0.0918058,4,0.0091573,F
8,2011,-0.0158731,1,-0.0031067,F
8,2011,0.0509338,2,-0.0039481,F
8,2011,-0.1583199,3,-0.0048291,F
8,2011,-0.3310941,4,-0.007029,F
8,2012,0.3457676,1,-0.0005607,H
8,2012,0.2185501,2,0.0007679,H
8,2012,-0.0376203,3,0.0010234,H
8,2012,-0.0245455,4,0.482964,H
8,2013,0.3765146,1,0.0242469,H
8,2013,-0.4434665,2,0.0470328,H
8,2013,0.1690997,3,0.0682194,H
8,2013,-0.0634755,4,0.078002,H
8,2014,0.0555556,1,0.0175745,H
8,2014,-0.1157895,2,0.0299333,H
8,2014,0.9226191,3,0.0383264,H
8,2014,0.3678019,4,0.0158396,H
8,2015,0.7636939,1,0.0839326,C3
8,2015,-0.786961,3,0.0475961,C3
8,2015,0.419277,4,0.0949627,C3
8,2016,-0.0823429,1,0.0040563,C3
8,2016,0.0074005,2,0.0140761,C3
8,2016,-0.1101929,3,0.0729952,C3
8,2016,-0.0381837,4,0.1985396,C3
8,2017,-0.0622318,1,0.0036556,C3
8,2017,-0.167048,2,0.0255609,C3
8,2017,0.2403845,3,0.0658015,C3
8,2017,-0.0310077,4,0.3494749,C3
9,2007,0.7730497,1,0.2033249,S
9,2007,0.5466667,2,0.2598795,S
9,2007,0.2525862,3,0.2442173,S
9,2007,0.0942877,4,0.2379939,S
9,2008,-0.0987421,1,0.0568567,S
9,2008,-0.6601535,2,0.1158862,S
9,2008,-0.3347023,3,0.4378639,S
9,2008,0.2283951,4,0.80679,S
9,2009,1.454774,1,0.2672537,S
9,2009,0.2139201,2,0.236286,S
9,2009,-0.134064,3,0.2611755,S
9,2009,0.0691333,4,0.364751,S
9,2010,0.082878,1,0.1019416,S
9,2010,-0.2767031,2,0.2030205,S
9,2010,0.3895348,3,0.3719684,S
9,2010,0.4033473,4,0.3387895,S
9,2011,0.084675,1,0.0815952,S
9,2011,-0.0533261,2,0.1475004,S
9,2011,-0.0662021,3,0.1842375,S
9,2011,-0.3221393,4,0.216905,S
9,2012,-0.0697247,1,0.0653224,S
9,2012,-0.0138067,2,0.1358247,S
9,2012,-0.109,3,0.1684618,S
9,2012,-0.0123456,4,0.3161994,S
9,2013,0.1318182,1,0.0853055,S
9,2013,0.1044177,2,0.120293,S
9,2013,-0.0636363,3,0.3770028,S
9,2013,-0.0825243,4,0.3437719,S
9,2014,0.1153439,1,0.103213,S
9,2014,0.2609108,3,0.2977603,S
9,2014,-0.0255832,4,0.2362202,S
9,2015,0.2895754,1,0.0542203,S
9,2015,-0.0233534,2,0.0860695,S
9,2015,-0.3507051,3,0.3232177,S
9,2015,0.6959395,4,0.5728793,S
9,2016,-0.2355234,1,0.0376471,S
9,2016,-0.002185,2,0.0920376,S
9,2016,-0.2423358,3,0.167994,S
9,2016,-0.0019268,4,0.1880226,S
9,2017,-0.1148648,1,0.0395957,S
9,2017,-0.1177753,2,0.1107145,S
9,2017,0.1112484,3,0.2131277,S
9,2017,-0.1957731,4,0.1672897,S
10,2007,0.6201117,1,-0.0193374,F
10,2007,-0.0126436,2,-0.0201797,F
10,2007,0.7229337,3,-0.0452974,F
10,2008,-0.3283784,2,0.0048551,F
10,2008,-0.557344,3,0.0949697,F
10,2008,0.1727272,4,0.2836062,F
10,2009,0.6647288,1,0.0345762,F
10,2009,0.0419092,2,0.0703539,F
10,2009,-0.0782123,3,0.0802216,F
10,2009,0.4375757,4,0.0793998,F
10,2010,0.1635751,1,-0.0065496,C3
10,2012,-0.2594203,1,-0.0198144,C3
10,2012,0.3502935,2,-0.0309416,C3
10,2012,0.3550725,4,0.0177115,C3
10,2013,-0.6315508,3,0.0135128,C3
10,2013,0.1132076,4,0.0094051,C3
10,2014,-0.1760104,1,-0.0139172,C3
10,2014,0.039557,2,-0.0193706,C3
10,2014,0.1841705,3,-0.036622,C3
10,2014,-0.0488432,4,-0.1646237,C3
10,2015,0.4608108,2,0.0021691,E
10,2015,-0.4292322,3,0.0031431,E
10,2015,0.6369531,4,0.0894255,E
10,2016,-0.1752476,1,-0.0400503,E
10,2016,-0.060024,2,0.0377518,E
10,2016,0.0740741,3,0.0330381,E
10,2016,-0.0856123,4,0.0564691,E
10,2017,-0.1183355,1,-0.0407018,E
